OTUID	Group
ASV_86	KO2
ASV_186	KO2
ASV_282	KO2
ASV_56	KO3
ASV_102	KO3
ASV_288	KO3
ASV_218	KO4
ASV_784	KO4
ASV_140	KO5
ASV_73	KO6
ASV_108	KO6
ASV_121	KO6
ASV_92	OE1
ASV_111	OE1
ASV_44	OE3
ASV_38	OE6
ASV_39	OE6
ASV_120	OE6
ASV_58	WT1
ASV_76	WT2
ASV_31	WT3
ASV_38	WT3
ASV_456	WT3
ASV_121	WT5
ASV_36	WT6
ASV_62	KO1
ASV_37	KO2
ASV_139	KO3
ASV_197	KO3
ASV_328	KO3
ASV_351	KO3
ASV_69	KO4
ASV_75	KO4
ASV_84	KO4
ASV_95	KO4
ASV_116	KO4
ASV_197	KO4
ASV_56	KO5
ASV_148	KO5
ASV_445	KO5
ASV_758	KO5
ASV_183	KO6
ASV_83	OE1
ASV_151	OE1
ASV_246	OE1
ASV_44	OE2
ASV_415	OE2
ASV_119	OE2
ASV_39	OE3
ASV_79	OE3
ASV_45	OE4
ASV_76	OE4
ASV_101	OE4
ASV_111	OE4
ASV_599	OE4
ASV_42	OE5
ASV_55	OE5
ASV_410	OE5
ASV_113	OE6
ASV_71	OE6
ASV_266	OE6
ASV_605	OE6
ASV_252	OE6
ASV_58	WT2
ASV_125	WT2
ASV_58	WT3
ASV_78	WT3
ASV_221	WT3
ASV_67	WT4
ASV_59	WT4
ASV_111	WT4
ASV_736	WT4
ASV_68	WT5
ASV_50	WT5
ASV_73	WT5
ASV_736	WT5
ASV_141	WT5
ASV_148	WT5
ASV_214	WT5
ASV_55	WT6
ASV_93	WT6
ASV_119	WT6
ASV_80	KO1
ASV_456	KO2
ASV_116	KO2
ASV_283	KO3
ASV_55	KO4
ASV_56	KO4
ASV_82	KO4
ASV_71	KO4
ASV_99	KO4
ASV_107	KO4
ASV_410	KO5
ASV_108	KO5
ASV_239	KO5
ASV_99	KO6
ASV_357	KO6
ASV_400	KO6
ASV_69	OE2
ASV_92	OE2
ASV_23	OE3
ASV_76	OE3
ASV_171	OE3
ASV_22	OE4
ASV_184	OE4
ASV_53	OE5
ASV_101	OE5
ASV_126	OE5
ASV_36	OE6
ASV_70	OE6
ASV_109	OE6
ASV_107	WT1
ASV_456	WT2
ASV_115	WT2
ASV_339	WT2
ASV_20	WT3
ASV_68	WT3
ASV_69	WT3
ASV_71	WT3
ASV_97	WT3
ASV_82	WT4
ASV_146	WT4
ASV_84	WT5
ASV_108	WT5
ASV_42	WT6
ASV_35	KO1
ASV_166	KO1
ASV_36	KO2
ASV_36	KO3
ASV_116	KO3
ASV_80	KO4
ASV_105	KO4
ASV_34	KO5
ASV_71	KO5
ASV_84	KO5
ASV_69	KO6
ASV_39	OE1
ASV_68	OE1
ASV_44	OE1
ASV_62	OE1
ASV_58	OE2
ASV_60	OE2
ASV_410	OE2
ASV_249	OE2
ASV_56	OE3
ASV_90	OE3
ASV_68	OE4
ASV_156	OE4
ASV_113	OE5
ASV_51	OE5
ASV_73	OE5
ASV_98	OE5
ASV_67	OE6
ASV_282	OE6
ASV_171	OE6
ASV_41	WT1
ASV_66	WT1
ASV_79	WT1
ASV_106	WT1
ASV_111	WT1
ASV_126	WT2
ASV_97	WT4
ASV_143	WT4
ASV_58	WT5
ASV_45	WT6
ASV_97	WT6
ASV_410	WT6
ASV_70	KO1
ASV_52	KO1
ASV_66	KO1
ASV_69	KO1
ASV_82	KO1
ASV_71	KO1
ASV_81	KO1
ASV_123	KO2
ASV_92	KO3
ASV_118	KO3
ASV_108	KO4
ASV_126	KO4
ASV_30	KO5
ASV_109	KO6
ASV_41	OE1
ASV_70	OE1
ASV_415	OE1
ASV_125	OE1
ASV_266	OE1
ASV_24	OE2
ASV_68	OE2
ASV_52	OE4
ASV_89	OE4
ASV_89	OE5
ASV_31	OE6
ASV_81	OE6
ASV_101	OE6
ASV_204	OE6
ASV_59	WT1
ASV_53	WT2
ASV_59	WT2
ASV_84	WT3
ASV_577	WT3
ASV_942	WT3
ASV_89	WT4
ASV_92	WT4
ASV_44	WT5
ASV_82	WT5
ASV_215	WT5
ASV_62	WT6
ASV_71	WT6
ASV_74	WT6
ASV_186	WT6
ASV_115	WT6
ASV_147	KO1
ASV_60	KO2
ASV_76	KO2
ASV_84	KO3
ASV_124	KO3
ASV_925	KO3
ASV_172	KO3
ASV_311	KO3
ASV_831	KO3
ASV_128	KO4
ASV_159	KO4
ASV_77	KO5
ASV_157	KO6
ASV_190	KO6
ASV_91	OE1
ASV_162	OE1
ASV_94	OE2
ASV_288	OE2
ASV_282	OE2
ASV_126	OE2
ASV_59	OE3
ASV_82	OE3
ASV_74	OE3
ASV_105	OE4
ASV_115	OE4
ASV_66	OE5
ASV_82	OE5
ASV_92	OE5
ASV_94	OE5
ASV_415	OE5
ASV_158	WT1
ASV_193	WT1
ASV_74	WT2
ASV_193	WT2
ASV_54	WT3
ASV_100	WT3
ASV_96	WT3
ASV_111	WT3
ASV_152	WT3
ASV_130	WT3
ASV_169	WT3
ASV_72	WT4
ASV_84	WT4
ASV_112	WT4
ASV_735	WT4
ASV_73	WT6
ASV_69	WT6
ASV_78	WT6
ASV_127	WT6
ASV_150	WT6
ASV_67	KO1
ASV_61	KO1
ASV_59	KO1
ASV_74	KO1
ASV_102	KO1
ASV_189	KO1
ASV_67	KO2
ASV_75	KO2
ASV_28	KO3
ASV_20	KO3
ASV_76	KO3
ASV_80	KO3
ASV_125	KO3
ASV_126	KO3
ASV_73	KO4
ASV_81	KO4
ASV_63	KO5
ASV_107	KO5
ASV_354	KO5
ASV_44	KO6
ASV_49	KO6
